analysis_scope,student_metric,auto_metric,sample_size,pearson_r,pearson_p_value,spearman_r,spearman_p_value,direction,pearson_p_adjust_bh,spearman_p_adjust_bh,spearman_significance
exercise_level_ai_only_pair_metrics,active_engagement_mean,pair_meteor_instruction_only,13,-0.06725777576762376,0.8271858960903383,-0.09695625655640737,0.7526859052243534,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,active_engagement_mean,pair_rougeL_f1_instruction_only,13,-0.2208574038220626,0.46838730921605054,-0.2049932281478327,0.5016910799550023,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,active_engagement_mean,pair_tfidf_cosine_full_text,13,-0.03380980755688924,0.9126872175950053,-0.047093038898826434,0.8785793705313143,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,active_engagement_mean,pair_tfidf_cosine_instruction_only,13,-0.2414695163032044,0.4267453043334505,-0.1329685804202158,0.6649786599423477,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,active_engagement_mean,pair_topic_coherence_score_ai,13,-0.26872968172675127,0.37465757226350277,-0.11786476462626681,0.7013574390772923,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,cognitive_load_mean_score_mean,pair_meteor_instruction_only,13,-0.176418861183209,0.5642448478970743,-0.11019325559678173,0.7200674281062429,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,cognitive_load_mean_score_mean,pair_rougeL_f1_instruction_only,13,-0.04833739329329039,0.8753932015211897,0.0385676394588736,0.9004516571386371,positive,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,cognitive_load_mean_score_mean,pair_tfidf_cosine_full_text,13,-0.4321094113184539,0.14032990877904183,-0.26446381343227615,0.38257712947124156,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,cognitive_load_mean_score_mean,pair_tfidf_cosine_instruction_only,13,-0.0674291799010744,0.8267514683791718,-0.0771352789177472,0.8022285682572896,negative,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,cognitive_load_mean_score_mean,pair_topic_coherence_score_ai,13,0.3071098607472825,0.30741097877012225,0.3001764821382787,0.3190168978950431,positive,0.945148943158797,0.9876398448767236,ns
exercise_level_ai_only_pair_metrics,course_relevance_mean,pair_meteor_instruction_only,13,0.16499746296298,0.5901081335003977,-0.12571598145028337,0.6823684452225698,negative,0.945148943158797,0.9876398448767236,ns
