exercise_id,source_type,topic,difficulty,exercise_type,student_rating_count,task_goal_clarity_mean,task_goal_clarity_std,key_support_mean,key_support_std,course_relevance_mean,course_relevance_std,learning_help_mean,learning_help_std,info_load_mean,info_load_std,search_effort_mean,search_effort_std,active_engagement_mean,active_engagement_std,mental_effort_mean,mental_effort_std,item_mean_score_mean,item_mean_score_std,usability_mean_score_mean,usability_mean_score_std,cognitive_load_mean_score_mean,cognitive_load_mean_score_std,engagement_score_mean,engagement_score_std,auto_flesch_reading_ease,auto_flesch_kincaid_grade,auto_instruction_completeness_ratio,auto_technical_term_density_instruction,auto_avg_sentence_length,auto_structure_completeness_ratio,auto_structure_score_weighted,auto_starter_code_mccabe_max,auto_starter_code_mi,pair_tfidf_cosine_full_text,pair_tfidf_cosine_instruction_only,pair_bertscore_f1_instruction_only,pair_rougeL_f1_instruction_only,pair_meteor_instruction_only,pair_topic_coherence_score_ai
AI-CURATED-RNN-02,AI,RNN,intermediate,model building,5,3.6,0.5477225575051662,3.4,0.8944271909999159,3.4,0.8944271909999159,3.2,0.44721359549995787,3.6,0.5477225575051661,3.6,0.8944271909999159,3.2,0.8366600265340756,4.0,0.7071067811865476,2.95,0.5347312409051859,3.4,0.5477225575051661,3.7333399999999997,0.6411959318336319,3.2,0.8366600265340756,44.1412,10.9117,1.0,0.022,15.1667,0.875,0.8667,2.0,100.0,0.3337,0.2098,,0.1791,0.1372,0.4
AI-CURATED-TRF-01,AI,Transformer,intermediate-advanced,code completion,5,3.8,0.44721359549995787,3.4,0.5477225575051661,3.6,0.5477225575051662,3.4,0.5477225575051661,3.8,0.4472135954999579,3.6,0.5477225575051662,3.8,0.44721359549995787,4.2,0.8366600265340757,3.05,0.36012150727219827,3.55,0.41079191812887456,3.8666600000000004,0.5577564190576384,3.8,0.44721359549995787,48.3119,10.1478,1.0,0.0541,18.5,0.875,0.8667,3.0,88.7743,0.2326,0.1635,,0.1143,0.1618,0.5
AI-CURATED-UVA-02,AI,Transformer,intermediate-advanced,code completion,5,3.8,0.4472135954999579,3.8,0.4472135954999579,3.8,0.447213595499958,3.4,0.5477225575051661,3.6,0.5477225575051661,3.4,0.5477225575051662,3.8,0.447213595499958,3.8,0.8366600265340756,3.225,0.3468609231377902,3.7,0.2091650066335189,3.6,0.5962754774431027,3.8,0.447213595499958,42.7863,12.6948,1.0,0.0455,29.3333,0.875,0.8667,1.0,100.0,0.4362,0.2357,,0.2312,0.2193,0.6
CNN-01,Expert,CNN,intermediate,code completion,5,3.2,0.44721359549995787,3.6,0.5477225575051661,3.6,0.5477225575051661,3.4,0.5477225575051661,3.0,0.0,3.2,0.447213595499958,3.6,0.5477225575051661,3.6,0.5477225575051662,3.2,0.3137475099502783,3.45,0.3708099243547831,3.2666600000000003,0.2788946449826531,3.6,0.5477225575051661,52.1162,8.8719,1.0,0.0164,15.25,0.875,0.8778,1.0,100.0,,,,,,
KER-01,Expert,CNN,beginner,model building,5,4.0,0.7071067811865476,3.8,0.4472135954999579,3.6,0.5477225575051661,4.0,0.7071067811865476,2.8,0.44721359549995787,2.6,0.5477225575051662,4.0,0.7071067811865476,3.4,0.5477225575051661,3.575,0.40117016339703027,3.85,0.4541475531146237,2.9333199999999997,0.43460454668583476,4.0,0.7071067811865476,44.83,11.975,0.6667,0.0,19.5,0.875,0.8778,,100.0,,,,,,
KER-02,Expert,RNN,intermediate,model building,3,3.6666666666666665,0.5773502691896258,3.6666666666666665,0.5773502691896258,3.6666666666666665,0.5773502691896258,3.3333333333333335,1.5275252316519468,4.0,0.0,3.3333333333333335,0.5773502691896257,3.6666666666666665,0.5773502691896258,4.0,0.0,3.0833333333333335,0.3818813079129867,3.5833333333333335,0.6291528696058959,3.7778000000000005,0.19243084472090224,3.6666666666666665,0.5773502691896258,37.1494,12.6736,0.6667,0.0541,18.5,0.875,0.8778,,100.0,,,,,,
KER-04,Expert,RNN,intermediate,model building,5,3.6,0.8944271909999159,3.6,0.5477225575051661,3.8,0.447213595499958,3.6,0.5477225575051661,3.2,0.447213595499958,3.0,0.0,3.6,0.8944271909999159,3.2,0.44721359549995787,3.35,0.3468609231377902,3.65,0.5477225575051661,3.13332,0.18255592841647178,3.6,0.8944271909999159,37.4848,12.5855,0.6667,0.0545,18.3333,0.875,0.8778,,100.0,,,,,,
MIT-01,Expert,RNN,intermediate,code completion,5,3.4,0.5477225575051661,3.2,0.447213595499958,3.4,0.5477225575051661,3.4,0.8944271909999159,3.8,0.44721359549995787,3.4,0.5477225575051661,3.4,0.5477225575051661,3.6,0.5477225575051662,3.0,0.15309310892394867,3.35,0.1369306393762915,3.6000199999999998,0.36515293645265945,3.4,0.5477225575051661,57.3574,8.9027,0.6667,0.0435,15.3333,0.875,0.8778,3.0,90.1552,,,,,,
MIT-02,Expert,CNN,beginner-intermediate,model building,3,3.6666666666666665,0.5773502691896257,4.0,0.0,3.3333333333333335,0.5773502691896258,3.6666666666666665,0.5773502691896258,4.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,3.2083333333333335,0.14433756729740646,3.6666666666666665,0.28867513459481287,3.6667,0.0,4.0,0.0,39.1289,12.5218,0.6667,0.0,28.5,0.875,0.8778,,,,,,,,
OPT-02,Expert,Optimization,beginner-intermediate,training-analysis,5,3.4,0.5477225575051661,3.4,0.5477225575051661,3.2,0.4472135954999579,3.2,0.447213595499958,4.0,0.0,3.2,0.44721359549995787,3.4,0.5477225575051662,4.0,0.0,2.925,0.24366985862022408,3.3,0.41079191812887456,3.7333600000000002,0.1490562913801359,3.4,0.5477225575051662,59.7676,8.1111,0.8333,0.0,12.5,0.875,0.8778,2.0,76.5547,,,,,,
OPT-04,Expert,Optimization,intermediate,model revision,4,3.0,0.0,3.0,0.816496580927726,3.25,0.5,3.0,0.0,3.0,0.0,3.25,0.49999999999999994,3.25,0.5,3.25,0.49999999999999994,3.0,0.30618621784789724,3.0625,0.31457643480294795,3.166675,0.33335,3.25,0.5,24.5097,13.8984,0.6667,0.02,16.6667,0.875,0.8778,,100.0,,,,,,
OPT-05,Expert,Optimization,intermediate,model revision,5,3.2,0.447213595499958,3.2,0.4472135954999579,3.2,0.4472135954999579,3.4,0.5477225575051661,3.8,0.4472135954999579,3.4,0.5477225575051662,3.2,0.8366600265340756,3.8,0.4472135954999579,2.9,0.270993542358485,3.25,0.1767766952966369,3.6666800000000004,0.4082482908721113,3.2,0.8366600265340756,48.0321,9.4167,0.6667,0.0,16.3333,0.875,0.8778,,100.0,,,,,,
RNN-01,Expert,RNN,intermediate,code completion,4,3.75,0.5,3.5,0.5773502691896257,3.0,0.0,3.0,0.0,3.25,0.5,3.25,0.5,3.5,0.5773502691896257,3.75,0.5,3.0625,0.21650635094610965,3.3125,0.12499999999999996,3.4166499999999997,0.4194396619300565,3.5,0.5773502691896257,61.6874,9.7894,0.6667,0.0323,20.6667,0.875,0.8778,7.0,77.9397,,,,,,
RNN-02,Expert,RNN,intermediate,model building,5,3.4,0.5477225575051662,3.2,0.447213595499958,3.2,0.447213595499958,3.4,0.8944271909999159,3.6,0.5477225575051662,3.2,0.447213595499958,3.2,0.44721359549995787,3.8,0.447213595499958,2.975,0.4088856808449031,3.3,0.54198708471697,3.53334,0.38006870826207206,3.2,0.44721359549995787,50.623,9.699,0.8333,0.0125,16.0,1.0,1.0,,,,,,,,
TRF-01,Expert,Transformer,intermediate-advanced,code completion,5,3.4,0.5477225575051661,3.4,0.5477225575051661,3.2,0.8366600265340756,3.0,0.0,3.8,0.447213595499958,4.0,0.7071067811865476,3.4,0.5477225575051661,4.2,0.44721359549995787,2.8,0.2877716108305335,3.25,0.39528470752104744,4.0,0.4714280910170712,3.4,0.5477225575051661,49.8278,9.7252,0.8333,0.0,14.25,1.0,1.0,3.0,77.6326,,,,,,
UVA-02,Expert,Transformer,intermediate-advanced,code completion,5,3.4,0.5477225575051662,3.0,0.0,3.0,0.0,3.0,0.0,3.4,0.5477225575051661,3.4,0.5477225575051661,3.2,0.4472135954999579,3.6,0.5477225575051661,2.9,0.18540496217739155,3.1,0.13693063937629155,3.46668,0.4472210493704427,3.2,0.4472135954999579,-6.1687,21.6554,0.8333,0.0217,30.6667,0.875,0.8778,4.0,63.1297,,,,,,
