dataset,group,sample_size
exercise_metrics,AI,4
exercise_metrics,Expert,4
exercise_metrics_by_topic,Transformer|AI,4
exercise_metrics_by_topic,Transformer|Expert,4
pair_metrics,overall,4
pair_metrics_by_topic,Transformer,4
