metric,ai_n,expert_n,ai_mean,expert_mean,t_statistic,raw_p_value,mann_whitney_u,mann_whitney_p_value,cohens_d,p_adjust_bh,mann_whitney_p_adjust_bh
code_quality_metrics.starter_code_avg_function_loc,4,2,16.5,7.375,2.02699590854579,0.13234379789007641,6.0,0.5333333333333333,1.1798003873106644,0.3647902298994903,0.6755555555555556
code_quality_metrics.starter_code_comment_line_ratio,4,2,0.24255,0.04725,4.208318788025808,0.01946263796221226,8.0,0.13333333333333333,2.4949175494984863,0.3207653420920377,0.5428571428571429
code_quality_metrics.starter_code_docstring_count,4,2,0.5,0.0,1.7320508075688774,0.1816901138162093,6.0,0.4017356370553977,1.0,0.3647902298994903,0.6755555555555556
code_quality_metrics.starter_code_function_count,4,2,1.75,3.0,-1.212678125181665,0.42105770723957,1.5,0.27332167829229814,-1.507556722888818,0.5714354598251308,0.5878310888373909
code_quality_metrics.starter_code_loc_total,4,2,31.5,22.5,1.2362450755382013,0.31690468184729037,6.0,0.5333333333333333,0.9856542207481084,0.4631683811614244,0.6755555555555556
code_quality_metrics.starter_code_max_function_loc,4,2,20.25,11.0,1.5966678524077813,0.19199485784183698,6.0,0.48112000112723874,0.9713327185739677,0.3647902298994903,0.6755555555555556
code_quality_metrics.starter_code_mccabe_max,4,2,1.75,3.5,-2.5281029148011536,0.08936789634845048,0.5,0.15266138035243013,-1.9414506867883021,0.3647902298994903,0.5428571428571429
code_quality_metrics.starter_code_mi,4,2,92.35175,70.38114999999999,2.7475381972773683,0.15475338139507133,8.0,0.13333333333333333,2.827648052747238,0.3647902298994903,0.5428571428571429
code_quality_metrics.starter_code_pylint_warning_count,4,2,12.75,9.0,1.3488539609929064,0.27318762283266634,6.5,0.34755803674116925,1.0326425862322715,0.43254706948505506,0.6603602698082216
code_quality_metrics.starter_code_ruff_error_count,4,2,2.5,8.0,-4.157609203101499,0.03376477285179345,0.0,0.09520470468773326,-3.3166247903554,0.3207653420920377,0.5428571428571429
instruction_metrics.avg_sentence_length,4,4,21.75,18.979174999999998,0.45716585757678546,0.6643520559472624,9.0,0.8857142857142857,0.3232650780195084,0.7889180664373742,0.9349206349206349
instruction_metrics.flesch_kincaid_grade,4,4,12.815249999999999,14.9397,-0.7015126619120617,0.5180355221498444,7.0,0.8857142857142857,-0.4960443603262447,0.6561783280564696,0.9349206349206349
instruction_metrics.flesch_reading_ease,4,4,39.340199999999996,21.385350000000003,1.4264867721282128,0.23110498251740313,11.0,0.4857142857142857,1.0086784698447688,0.39918133343915085,0.6755555555555556
instruction_metrics.instruction_completeness_ratio,4,4,1.0,0.66665,2.828568517816742,0.06626787231995682,16.0,0.020208004239389277,2.0000999799990002,0.3647902298994903,0.38395208054839625
instruction_metrics.max_sentence_length,4,4,43.75,27.25,1.5843549352627018,0.16970232296263332,13.0,0.2,1.1203081185306298,0.3647902298994903,0.5428571428571429
instruction_metrics.technical_term_density_instruction,4,4,0.03055,0.0332,-0.09211431051178454,0.9309790673206458,10.0,0.6631172453203822,-0.06513465360720612,0.930979067320646,0.7874517288179539
instruction_metrics.var_sentence_length,4,4,214.44445000000002,77.685775,1.8180723128395988,0.12469015527273142,13.0,0.2,1.2855712610963905,0.3647902298994903,0.5428571428571429
structure_metrics.structure_completeness_ratio,4,4,0.875,0.84375,0.3973597071195132,0.7176856442107858,8.0,1.0,0.2809757434745082,0.8021192494120548,1.0
structure_metrics.structure_score_weighted,4,4,0.8667,0.847225,0.25323233504681036,0.8164503182697787,4.0,0.2784463052387641,0.17906230132730339,0.8618086692847664,0.5878310888373909
