metric,sample_size,mean,std,median,min,max
meteor_instruction_only,23,0.24209999999999998,0.10442443548936584,0.1911,0.1203,0.4759
rougeL_f1_instruction_only,23,0.1899,0.0794477930353123,0.1695,0.086,0.3956
tfidf_cosine_full_text,23,0.38549999999999995,0.07173636075621243,0.3945,0.2326,0.4925
tfidf_cosine_instruction_only,23,0.211095652173913,0.07138332169772425,0.2137,0.076,0.3818
topic_coherence_score_ai,23,0.3695652173913043,0.2032347111742651,0.4,0.0,0.7
topic_coherence_score_reference,23,0.22173913043478263,0.14757593342575276,0.2,0.0,0.5
