metric,sample_size,mean,std,median,min,max
rougeL_f1_instruction_only,3,0.18466666666666667,0.014459714151162645,0.1875,0.169,0.1975
tfidf_cosine_full_text,3,0.4174333333333333,0.043664325636992636,0.4101,0.3779,0.4643
tfidf_cosine_instruction_only,3,0.2289,0.02510239032442925,0.233,0.202,0.2517
topic_coherence_score_ai,3,0.3,0.17320508075688773,0.2,0.2,0.5
topic_coherence_score_reference,3,0.16666666666666666,0.11547005383792514,0.1,0.1,0.3
