difficulty,metric,sample_size,mean,std,median,min,max
beginner-intermediate,rougeL_f1_instruction_only,1,0.1615,,0.1615,0.1615,0.1615
beginner-intermediate,tfidf_cosine_full_text,1,0.3709,,0.3709,0.3709,0.3709
beginner-intermediate,tfidf_cosine_instruction_only,1,0.156,,0.156,0.156,0.156
beginner-intermediate,topic_coherence_score_ai,1,0.2,,0.2,0.2,0.2
beginner-intermediate,topic_coherence_score_reference,1,0.1,,0.1,0.1,0.1
intermediate,rougeL_f1_instruction_only,5,0.15716000000000002,0.03331378093222083,0.1571,0.1239,0.2013
intermediate,tfidf_cosine_full_text,5,0.37112,0.05435786051713219,0.3694,0.2993,0.4367
intermediate,tfidf_cosine_instruction_only,5,0.16798,0.071187442712883,0.1626,0.0848,0.2514
intermediate,topic_coherence_score_ai,5,0.42000000000000004,0.14832396974191325,0.4,0.2,0.6
intermediate,topic_coherence_score_reference,5,0.18,0.08366600265340755,0.2,0.1,0.3
