dataset,group,sample_size
exercise_metrics,AI,5
exercise_metrics,Expert,5
exercise_metrics_by_topic,Transformer|AI,5
exercise_metrics_by_topic,Transformer|Expert,5
pair_metrics,overall,5
pair_metrics_by_topic,Transformer,5
