topic,source_type,metric,sample_size,mean,std,median,min,max
CNN,AI,code_quality_metrics.starter_code_avg_function_loc,1,7.0,,7.0,7.0,7.0
CNN,AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.4667,,0.4667,0.4667,0.4667
CNN,AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
CNN,AI,code_quality_metrics.starter_code_function_count,1,1.0,,1.0,1.0,1.0
CNN,AI,code_quality_metrics.starter_code_loc_total,1,15.0,,15.0,15.0,15.0
CNN,AI,code_quality_metrics.starter_code_max_function_loc,1,7.0,,7.0,7.0,7.0
CNN,AI,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
CNN,AI,code_quality_metrics.starter_code_mi,1,100.0,,100.0,100.0,100.0
CNN,AI,code_quality_metrics.starter_code_pylint_warning_count,1,4.0,,4.0,4.0,4.0
CNN,AI,code_quality_metrics.starter_code_ruff_error_count,1,5.0,,5.0,5.0,5.0
CNN,AI,instruction_metrics.avg_sentence_length,1,25.3333,,25.3333,25.3333,25.3333
CNN,AI,instruction_metrics.flesch_kincaid_grade,1,15.7163,,15.7163,15.7163,15.7163
CNN,AI,instruction_metrics.flesch_reading_ease,1,27.5059,,27.5059,27.5059,27.5059
CNN,AI,instruction_metrics.instruction_completeness_ratio,1,1.0,,1.0,1.0,1.0
CNN,AI,instruction_metrics.max_sentence_length,1,32.0,,32.0,32.0,32.0
CNN,AI,instruction_metrics.technical_term_density_instruction,1,0.0,,0.0,0.0,0.0
CNN,AI,instruction_metrics.var_sentence_length,1,76.2222,,76.2222,76.2222,76.2222
CNN,AI,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
CNN,AI,structure_metrics.structure_score_weighted,1,0.8667,,0.8667,0.8667,0.8667
CNN,Expert,instruction_metrics.avg_sentence_length,1,15.0,,15.0,15.0,15.0
CNN,Expert,instruction_metrics.flesch_kincaid_grade,1,6.4651,,6.4651,6.4651,6.4651
CNN,Expert,instruction_metrics.flesch_reading_ease,1,74.2402,,74.2402,74.2402,74.2402
CNN,Expert,instruction_metrics.instruction_completeness_ratio,1,0.6667,,0.6667,0.6667,0.6667
CNN,Expert,instruction_metrics.max_sentence_length,1,24.0,,24.0,24.0,24.0
CNN,Expert,instruction_metrics.technical_term_density_instruction,1,0.0,,0.0,0.0,0.0
CNN,Expert,instruction_metrics.var_sentence_length,1,44.6667,,44.6667,44.6667,44.6667
CNN,Expert,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
CNN,Expert,structure_metrics.structure_score_weighted,1,0.8778,,0.8778,0.8778,0.8778
