metric,sample_size,mean,std,median,min,max
rougeL_f1_instruction_only,1,0.0945,,0.0945,0.0945,0.0945
tfidf_cosine_full_text,1,0.2576,,0.2576,0.2576,0.2576
tfidf_cosine_instruction_only,1,0.1313,,0.1313,0.1313,0.1313
topic_coherence_score_ai,1,0.0,,0.0,0.0,0.0
topic_coherence_score_reference,1,0.0,,0.0,0.0,0.0
