topic,metric,sample_size,mean,std,median,min,max
Transformer,rougeL_f1_instruction_only,1,0.129,,0.129,0.129,0.129
Transformer,tfidf_cosine_full_text,1,0.3473,,0.3473,0.3473,0.3473
Transformer,tfidf_cosine_instruction_only,1,0.1055,,0.1055,0.1055,0.1055
Transformer,topic_coherence_score_ai,1,0.2,,0.2,0.2,0.2
Transformer,topic_coherence_score_reference,1,0.2,,0.2,0.2,0.2
