metric,ai_n,expert_n,ai_mean,expert_mean,t_statistic,raw_p_value,mann_whitney_u,mann_whitney_p_value,cohens_d,p_adjust_bh,mann_whitney_p_adjust_bh
code_quality_metrics.starter_code_avg_function_loc,6,3,11.166666666666666,14.333333333333334,-0.25180255038074834,0.8182592075594903,8.5,1.0,-0.21011294423744725,0.988424953126394,1.0
code_quality_metrics.starter_code_comment_line_ratio,6,4,0.37643333333333334,0.18432500000000002,1.6029446377577536,0.14937559849796322,18.0,0.2571428571428571,0.9043390167355699,0.47302272857688354,0.6979591836734693
code_quality_metrics.starter_code_docstring_count,6,3,0.3333333333333333,0.3333333333333333,0.0,1.0,9.0,1.0,0.0,1.0,1.0
code_quality_metrics.starter_code_function_count,6,3,1.1666666666666667,0.6666666666666666,1.1028219331407119,0.3175573484663681,12.5,0.39136593830755195,0.7071067811865477,0.6703988467623326,0.7688478476618437
code_quality_metrics.starter_code_loc_total,6,4,17.833333333333332,19.0,-0.18861142691908897,0.8581219461303119,10.0,0.7619047619047619,-0.13286416600130868,0.988424953126394,0.965079365079365
code_quality_metrics.starter_code_max_function_loc,6,3,11.333333333333334,14.333333333333334,-0.238953024387831,0.827385604991841,8.5,1.0,-0.20006352231381389,0.988424953126394,1.0
code_quality_metrics.starter_code_mccabe_max,5,2,1.4,1.0,1.6329931618554518,0.17780780835622137,7.0,0.4624327264504764,0.8164965809277259,0.48262119410974375,0.7987474365962774
code_quality_metrics.starter_code_mi,6,3,92.01533333333333,100.0,-1.2325468788090779,0.2725354752398566,6.0,0.376759117811582,-0.5953767059387414,0.6472717536946594,0.7688478476618437
code_quality_metrics.starter_code_pylint_warning_count,6,3,11.166666666666666,4.333333333333333,2.7284869938236853,0.03950079765024281,17.0,0.047619047619047616,1.7601731687511812,0.23831374234556926,0.24675324675324672
code_quality_metrics.starter_code_ruff_error_count,6,3,1.1666666666666667,5.0,-0.9457735756556758,0.44311230854748446,6.5,0.5913195290659061,-1.0100050459465366,0.7015944885335171,0.864236234788632
instruction_metrics.avg_sentence_length,6,6,19.69445,19.608333333333334,0.026965985931479843,0.9792573509050488,21.0,0.6991341991341992,0.01556881923650355,1.0,0.9488249845392703
instruction_metrics.flesch_kincaid_grade,6,6,12.016399999999999,10.598483333333334,0.895992027905135,0.3949101329141243,22.0,0.5887445887445888,0.5173012385027884,0.6821175023062147,0.864236234788632
instruction_metrics.flesch_reading_ease,6,6,39.90303333333333,51.97774999999999,-1.92103472111074,0.0863419059934348,7.0,0.09307359307359307,-1.1091099133559033,0.32809924277505226,0.29473304473304474
instruction_metrics.instruction_completeness_ratio,6,6,0.8888666666666668,0.6666833333333333,2.389868165132313,0.050171314178014584,31.0,0.036503879130271345,1.379791028466858,0.23831374234556926,0.24675324675324672
instruction_metrics.max_sentence_length,6,6,31.666666666666668,25.833333333333332,2.4072187243279264,0.03875533332655215,30.5,0.05297584324106664,1.3898083784890363,0.23831374234556926,0.24675324675324672
instruction_metrics.technical_term_density_instruction,6,6,0.025150000000000002,0.02205,0.1497374301159468,0.8843802212183526,19.5,0.8642801813742804,0.08645094558520466,0.988424953126394,1.0
instruction_metrics.var_sentence_length,6,6,75.54166666666667,25.7157,2.6078846155932545,0.028713382351116912,30.0,0.06493506493506493,1.505662884828249,0.23831374234556926,0.24675324675324672
structure_metrics.structure_completeness_ratio,6,6,0.875,0.8333333333333334,0.9999999999999993,0.3632174676491228,21.0,0.40465676192728617,0.5773502691896254,0.6821175023062147,0.7688478476618437
structure_metrics.structure_score_weighted,6,6,0.8666999999999999,0.83705,0.7276073619631889,0.4994830755932262,6.0,0.04046183578416871,0.4200843062938006,0.730013725867023,0.24675324675324672
