difficulty,metric,sample_size,mean,std,median,min,max
beginner,rougeL_f1_instruction_only,2,0.24264999999999998,0.1181575431362721,0.24264999999999998,0.1591,0.3262
beginner,tfidf_cosine_full_text,2,0.43095,0.028920667350529828,0.43095,0.4105,0.4514
beginner,tfidf_cosine_instruction_only,2,0.2334,0.0668923015002474,0.2334,0.1861,0.2807
beginner,topic_coherence_score_ai,2,0.25,0.21213203435596428,0.25,0.1,0.4
beginner,topic_coherence_score_reference,2,0.2,0.28284271247461906,0.2,0.0,0.4
beginner-intermediate,rougeL_f1_instruction_only,2,0.16194999999999998,0.012374368670764573,0.16194999999999998,0.1532,0.1707
beginner-intermediate,tfidf_cosine_full_text,2,0.37345,0.0027577164466275456,0.37345,0.3715,0.3754
beginner-intermediate,tfidf_cosine_instruction_only,2,0.218,0.006081118318204306,0.218,0.2137,0.2223
beginner-intermediate,topic_coherence_score_ai,2,0.2,0.28284271247461906,0.2,0.0,0.4
beginner-intermediate,topic_coherence_score_reference,2,0.15000000000000002,0.07071067811865477,0.15000000000000002,0.1,0.2
intermediate,rougeL_f1_instruction_only,2,0.11674999999999999,0.025950818869546293,0.11674999999999999,0.0984,0.1351
intermediate,tfidf_cosine_full_text,2,0.39239999999999997,0.12600642840744275,0.39239999999999997,0.3033,0.4815
intermediate,tfidf_cosine_instruction_only,2,0.14605,0.025667976157071674,0.14605,0.1279,0.1642
intermediate,topic_coherence_score_ai,2,0.2,0.28284271247461906,0.2,0.0,0.4
intermediate,topic_coherence_score_reference,2,0.15,0.21213203435596426,0.15,0.0,0.3
