dataset,group,sample_size
exercise_metrics,AI,6
exercise_metrics,Expert,6
exercise_metrics_by_topic,CNN|AI,6
exercise_metrics_by_topic,CNN|Expert,6
pair_metrics,overall,6
pair_metrics_by_topic,CNN,6
