ai_exercise_id,bertscore_f1_instruction_only,difficulty,exercise_type,heavy_metric_error,meteor_instruction_only,pair_id,reference_exercise_id,rougeL_f1_instruction_only,tfidf_cosine_full_text,tfidf_cosine_instruction_only,topic,topic_coherence_score_ai,topic_coherence_score_reference
AI-DTL-03-01,nan,intermediate,training-analysis,,nan,PAIR-DTL-03-01,DTL-03,0.129,0.3408,0.1055,Transformer,0.2,0.2
AI-KER-03-01,nan,intermediate-advanced,model building,,nan,PAIR-KER-03-01,KER-03,0.2659,0.4023,0.2711,Transformer,0.1,0.0
AI-TRF-01-01,nan,intermediate-advanced,code completion,,nan,PAIR-TRF-01-01,TRF-01,0.1143,0.2326,0.1635,Transformer,0.5,0.2
AI-UVA-02-01,nan,intermediate-advanced,code completion,,nan,PAIR-UVA-02-01,UVA-02,0.2312,0.4396,0.2357,Transformer,0.6,0.4
