metric,ai_n,expert_n,ai_mean,expert_mean,t_statistic,raw_p_value,mann_whitney_u,mann_whitney_p_value,cohens_d,p_adjust_bh,mann_whitney_p_adjust_bh
code_quality_metrics.starter_code_avg_function_loc,6,4,5.845233333333333,6.25,-0.08843110727831333,0.9338097828266086,13.0,0.9140619587353949,-0.06572702310043443,1.0,1.0
code_quality_metrics.starter_code_comment_line_ratio,6,4,0.2887,0.039475,4.777570974784931,0.0017512557030066648,24.0,0.013921913328143975,2.660435148136667,0.016636929178563315,0.13225817661736777
code_quality_metrics.starter_code_docstring_count,6,4,0.16666666666666666,0.0,0.9999999999999999,0.3632174676491228,14.0,0.5402913746074198,0.5163977794943222,0.8297751710094636,0.9332305561400888
code_quality_metrics.starter_code_function_count,6,4,2.5,1.0,1.260252075625209,0.2431657566301531,17.0,0.3159124104094966,0.7330166661378313,0.7262072065152054,0.6002335797780435
code_quality_metrics.starter_code_loc_total,6,4,30.5,17.25,1.7573835609042023,0.1351345841956841,20.0,0.10550172545634545,0.9175511946561488,0.5135114199435996,0.286361826238652
code_quality_metrics.starter_code_max_function_loc,6,4,7.333333333333333,7.25,0.017475148350440565,0.9868963409399225,12.0,1.0,0.012973344457548485,1.0,1.0
code_quality_metrics.starter_code_mccabe_max,5,2,2.2,5.0,-1.3930520662939847,0.39305139679395645,0.5,0.08395281829312773,-2.110579412044345,0.8297751710094636,0.2658505912615711
code_quality_metrics.starter_code_mi,6,4,92.13735000000001,92.023725,0.018493346466836227,0.9859291004640371,12.0,1.0,0.012714991186337388,1.0,1.0
code_quality_metrics.starter_code_pylint_warning_count,6,4,13.333333333333334,5.25,2.798982805600092,0.02330941193648738,22.0,0.0380952380952381,1.6244693210259233,0.11071970669831505,0.17043669517683413
code_quality_metrics.starter_code_ruff_error_count,6,4,2.8333333333333335,11.0,-3.2295604680329406,0.01779038816317664,1.0,0.024303355628861788,-2.1370094337693084,0.11071970669831505,0.15392125231612466
instruction_metrics.avg_sentence_length,6,6,18.41111666666667,18.201383333333336,0.13035597373565147,0.8992408907357108,18.0,1.0,0.07526105652675415,1.0,1.0
instruction_metrics.flesch_kincaid_grade,6,6,11.161200000000001,10.558733333333333,0.7251254639000164,0.48638971076503273,26.0,0.24025974025974026,0.41865138177892675,0.9241404504535622,0.5072150072150072
instruction_metrics.flesch_reading_ease,6,6,43.098216666666666,50.94155,-1.174287632079005,0.2675500234529704,10.0,0.24025974025974026,-0.6779752804868617,0.7262072065152054,0.5072150072150072
instruction_metrics.instruction_completeness_ratio,6,6,0.9166500000000001,0.6666833333333333,4.390839212018882,0.0014210316642113588,34.5,0.007432334768128195,2.535052201027466,0.016636929178563315,0.13225817661736777
instruction_metrics.max_sentence_length,6,6,29.333333333333332,26.833333333333332,0.49086755147889044,0.6424047446884891,16.0,0.8088656132399987,0.28340251298278984,0.9301094758282468,1.0
instruction_metrics.technical_term_density_instruction,6,6,0.04073333333333334,0.035883333333333337,0.4710720384408442,0.6476980093258967,21.0,0.6991341991341992,0.2719735682015272,0.9301094758282468,1.0
instruction_metrics.var_sentence_length,6,6,69.28453333333333,46.2974,0.5757962560682571,0.5844368393594819,19.0,0.9372294372294373,0.33243612343938694,0.9301094758282468,1.0
structure_metrics.structure_completeness_ratio,6,6,0.875,0.875,0.0,1.0,18.0,1.0,0.0,1.0,1.0
structure_metrics.structure_score_weighted,6,6,0.8666999999999999,0.8796500000000002,-0.4296385077602999,0.6853438242944976,6.0,0.04485176188864056,-0.24805190810963826,0.9301094758282468,0.17043669517683413
