topic,source_type,metric,sample_size,mean,std,median,min,max
RNN,AI,code_quality_metrics.starter_code_avg_function_loc,6,6.476183333333334,4.737752990782305,6.0,0.0,14.0
RNN,AI,code_quality_metrics.starter_code_comment_line_ratio,6,0.26908333333333334,0.08464139452222338,0.27225,0.1429,0.381
RNN,AI,code_quality_metrics.starter_code_docstring_count,6,0.16666666666666666,0.408248290463863,0.0,0.0,1.0
RNN,AI,code_quality_metrics.starter_code_function_count,6,2.5,2.345207879911715,2.0,0.0,7.0
RNN,AI,code_quality_metrics.starter_code_loc_total,6,27.5,12.177848742696717,24.5,15.0,47.0
RNN,AI,code_quality_metrics.starter_code_max_function_loc,6,8.0,5.477225575051661,7.0,0.0,16.0
RNN,AI,code_quality_metrics.starter_code_mccabe_max,5,2.6,0.8944271909999159,2.0,2.0,4.0
RNN,AI,code_quality_metrics.starter_code_mi,6,92.16346666666665,8.810351087139871,94.26855,77.5799,100.0
RNN,AI,code_quality_metrics.starter_code_pylint_warning_count,6,17.5,8.712060605849802,16.0,9.0,34.0
RNN,AI,code_quality_metrics.starter_code_ruff_error_count,6,3.1666666666666665,3.3714487489307423,2.0,0.0,9.0
RNN,AI,instruction_metrics.avg_sentence_length,6,23.277783333333332,3.7326153080201907,22.16665,19.25,28.75
RNN,AI,instruction_metrics.flesch_kincaid_grade,6,13.3375,2.6802035064524485,12.39845,11.0745,18.2313
RNN,AI,instruction_metrics.flesch_reading_ease,6,37.461083333333335,13.212672535928023,39.122299999999996,13.6304,49.4067
RNN,AI,instruction_metrics.instruction_completeness_ratio,6,0.9444333333333333,0.0860835098417035,1.0,0.8333,1.0
RNN,AI,instruction_metrics.max_sentence_length,6,35.666666666666664,10.152175464730044,34.0,27.0,55.0
RNN,AI,instruction_metrics.technical_term_density_instruction,6,0.03763333333333334,0.02569036135726134,0.03605,0.0125,0.0806
RNN,AI,instruction_metrics.var_sentence_length,6,91.64583333333333,77.53419380553761,69.20485,21.5556,243.6875
RNN,AI,structure_metrics.structure_completeness_ratio,6,0.875,0.0,0.875,0.875,0.875
RNN,AI,structure_metrics.structure_score_weighted,6,0.8666999999999999,1.2161883888976234e-16,0.8667,0.8667,0.8667
RNN,Expert,code_quality_metrics.starter_code_avg_function_loc,4,6.25,8.5,3.5,0.0,18.0
RNN,Expert,code_quality_metrics.starter_code_comment_line_ratio,4,0.039475,0.05040419129397872,0.0263,0.0,0.1053
RNN,Expert,code_quality_metrics.starter_code_docstring_count,4,0.0,0.0,0.0,0.0,0.0
RNN,Expert,code_quality_metrics.starter_code_function_count,4,1.0,1.4142135623730951,0.5,0.0,3.0
RNN,Expert,code_quality_metrics.starter_code_loc_total,4,17.25,2.8722813232690143,18.5,13.0,19.0
RNN,Expert,code_quality_metrics.starter_code_max_function_loc,4,7.25,8.845903006477066,5.5,0.0,18.0
RNN,Expert,code_quality_metrics.starter_code_mccabe_max,2,5.0,2.8284271247461903,5.0,3.0,7.0
RNN,Expert,code_quality_metrics.starter_code_mi,4,92.023725,10.473666528131396,95.07759999999999,77.9397,100.0
RNN,Expert,code_quality_metrics.starter_code_pylint_warning_count,4,5.25,3.4034296427770228,4.5,2.0,10.0
RNN,Expert,code_quality_metrics.starter_code_ruff_error_count,4,11.0,4.08248290463863,11.0,6.0,16.0
RNN,Expert,instruction_metrics.avg_sentence_length,6,18.201383333333336,2.1900210130650954,18.41665,15.3333,20.6667
RNN,Expert,instruction_metrics.flesch_kincaid_grade,6,10.558733333333333,1.6363101829013555,9.7458,8.9027,12.6736
RNN,Expert,instruction_metrics.flesch_reading_ease,6,50.94155,11.281179484389032,53.9902,37.1494,61.6874
RNN,Expert,instruction_metrics.instruction_completeness_ratio,6,0.6666833333333333,0.10539871757600597,0.6667,0.5,0.8333
RNN,Expert,instruction_metrics.max_sentence_length,6,26.833333333333332,2.786873995477131,25.5,25.0,32.0
RNN,Expert,instruction_metrics.technical_term_density_instruction,6,0.035883333333333337,0.017898202889303348,0.0379,0.0125,0.0545
RNN,Expert,instruction_metrics.var_sentence_length,6,46.2974,34.50604011491321,32.56945,12.7344,96.8889
RNN,Expert,structure_metrics.structure_completeness_ratio,6,0.875,0.07905694150420949,0.875,0.75,1.0
RNN,Expert,structure_metrics.structure_score_weighted,6,0.8796500000000002,0.07383158538186754,0.8778,0.7667,1.0
